Length error: 0.47414547, Total energy: -1429.8923
Length error: 0.46549463, Total energy: -1428.8538
Length error: 0.45719278, Total energy: -1427.877
Length error: 0.4494958, Total energy: -1426.9941
Length error: 0.44263467, Total energy: -1426.2322
Length error: 0.43680257, Total energy: -1425.612
Length error: 0.4321587, Total energy: -1425.1487
Length error: 0.4288172, Total energy: -1424.8527
Length error: 0.42684734, Total energy: -1424.7296
Length error: 0.42627913, Total energy: -1424.7804
Length error: 0.4270951, Total energy: -1425.0024
Length error: 0.42923975, Total energy: -1425.389
Length error: 0.4326148, Total energy: -1425.9305
Length error: 0.43709305, Total energy: -1426.614
Length error: 0.44251359, Total energy: -1427.4226
Length error: 0.44869322, Total energy: -1428.3367
Length error: 0.4554277, Total energy: -1429.3333
Length error: 0.4625061, Total energy: -1430.387
Length error: 0.46970445, Total energy: -1431.47
Length error: 0.4768063, Total energy: -1432.5532
Length error: 0.48359838, Total energy: -1433.6064
Length error: 0.4898797, Total energy: -1434.6007
Length error: 0.49546665, Total energy: -1435.5077
Length error: 0.5001976, Total energy: -1436.3004
Length error: 0.5039335, Total energy: -1436.9575
Length error: 0.5065707, Total energy: -1437.4602
Length error: 0.50803447, Total energy: -1437.7952
Length error: 0.50828797, Total energy: -1437.9552
Length error: 0.50733304, Total energy: -1437.9395
Length error: 0.5052074, Total energy: -1437.7532
Length error: 0.50198793, Total energy: -1437.4088
Length error: 0.49778903, Total energy: -1436.9242
Length error: 0.49275622, Total energy: -1436.3221
Length error: 0.48706204, Total energy: -1435.6299
Length error: 0.48089558, Total energy: -1434.877
Length error: 0.47446716, Total energy: -1434.094
Length error: 0.46798432, Total energy: -1433.3113
Length error: 0.46165496, Total energy: -1432.5574
Length error: 0.45568132, Total energy: -1431.8586
Length error: 0.45024523, Total energy: -1431.2378
Length error: 0.44550902, Total energy: -1430.714
Length error: 0.44160718, Total energy: -1430.302
Length error: 0.43864518, Total energy: -1430.0127
Length error: 0.43669486, Total energy: -1429.8536
Length error: 0.43579483, Total energy: -1429.8279
Length error: 0.43595266, Total energy: -1429.9352
Length error: 0.4371382, Total energy: -1430.1724
Length error: 0.43929368, Total energy: -1430.5327
Length error: 0.44233268, Total energy: -1431.0066
Length error: 0.4461432, Total energy: -1431.5818
Length error: 0.45059142, Total energy: -1432.243
Length error: 0.45552668, Total energy: -1432.9733
Length error: 0.46078813, Total energy: -1433.7524
Length error: 0.46620682, Total energy: -1434.5598
Length error: 0.4716115, Total energy: -1435.3727
Length error: 0.4768368, Total energy: -1436.1686
Length error: 0.4817207, Total energy: -1436.9247
Length error: 0.48611632, Total energy: -1437.6194
Length error: 0.48989496, Total energy: -1438.2327
Length error: 0.49294445, Total energy: -1438.7472
Length error: 0.4951777, Total energy: -1439.1488
Length error: 0.49653375, Total energy: -1439.4274
Length error: 0.49697906, Total energy: -1439.5765
Length error: 0.49650913, Total energy: -1439.5952
Length error: 0.49514967, Total energy: -1439.4869
Length error: 0.4929533, Total energy: -1439.2594
Length error: 0.49000224, Total energy: -1438.925
Length error: 0.48640013, Total energy: -1438.5
Length error: 0.48227286, Total energy: -1438.0032
Length error: 0.47775948, Total energy: -1437.4553
Length error: 0.47301108, Total energy: -1436.8785
Length error: 0.46818396, Total energy: -1436.2952
Length error: 0.46343505, Total energy: -1435.7267
Length error: 0.45891047, Total energy: -1435.1925
Length error: 0.4547531, Total energy: -1434.7108
Length error: 0.45108563, Total energy: -1434.2969
Length error: 0.44801426, Total energy: -1433.9634
Length error: 0.44562298, Total energy: -1433.719
Length error: 0.4439721, Total energy: -1433.5717
Length error: 0.44309688, Total energy: -1433.5237
Length error: 0.44300896, Total energy: -1433.5768
Length error: 0.44369364, Total energy: -1433.7284
Length error: 0.44511437, Total energy: -1433.9747
Length error: 0.44721353, Total energy: -1434.3085
Length error: 0.44990748, Total energy: -1434.7203
Length error: 0.4531045, Total energy: -1435.1995
Length error: 0.4566961, Total energy: -1435.7325
Length error: 0.4605602, Total energy: -1436.305
Length error: 0.46457422, Total energy: -1436.9006
Length error: 0.46861082, Total energy: -1437.5038
Length error: 0.47254327, Total energy: -1438.0968
Length error: 0.47625074, Total energy: -1438.6628
Length error: 0.4796198, Total energy: -1439.1855
Length error: 0.48255026, Total energy: -1439.6509
Length error: 0.48495454, Total energy: -1440.0457
Length error: 0.48676354, Total energy: -1440.3589
Length error: 0.4879294, Total energy: -1440.5825
Length error: 0.48841852, Total energy: -1440.7123
Length error: 0.48822743, Total energy: -1440.7457
Length error: 0.4873669, Total energy: -1440.6858
Length error: 0.4858721, Total energy: -1440.5366
Length error: 0.4838019, Total energy: -1440.3068
Length error: 0.4812258, Total energy: -1440.0067
Length error: 0.47823566, Total energy: -1439.6503
Length error: 0.4749334, Total energy: -1439.2523
Length error: 0.47143087, Total energy: -1438.8281
Length error: 0.4678381, Total energy: -1438.3945
Length error: 0.46427593, Total energy: -1437.9669
Length error: 0.46085653, Total energy: -1437.5608
Length error: 0.45768547, Total energy: -1437.1897
Length error: 0.45485806, Total energy: -1436.8661
Length error: 0.45245934, Total energy: -1436.6
Length error: 0.45055342, Total energy: -1436.3997
Length error: 0.44919425, Total energy: -1436.2709
Length error: 0.44841197, Total energy: -1436.2169
Length error: 0.44822013, Total energy: -1436.2393
Length error: 0.448614, Total energy: -1436.3372
Length error: 0.44956708, Total energy: -1436.5079
Length error: 0.45104003, Total energy: -1436.7463
Length error: 0.45297724, Total energy: -1437.0453
Length error: 0.45530725, Total energy: -1437.3967
Length error: 0.45795202, Total energy: -1437.7904
Length error: 0.460822, Total energy: -1438.2157
Length error: 0.4638214, Total energy: -1438.6599
Length error: 0.4668553, Total energy: -1439.1112
Length error: 0.46982658, Total energy: -1439.5562
Length error: 0.47264385, Total energy: -1439.9822
Length error: 0.47521955, Total energy: -1440.3772
Length error: 0.4774768, Total energy: -1440.7303
Length error: 0.47934604, Total energy: -1441.0311
Length error: 0.48077446, Total energy: -1441.2723
Length error: 0.48172203, Total energy: -1441.4473
Length error: 0.48216608, Total energy: -1441.5525
Length error: 0.48209512, Total energy: -1441.5863
Length error: 0.48152253, Total energy: -1441.5503
Length error: 0.48047125, Total energy: -1441.4478
Length error: 0.47897822, Total energy: -1441.284
Length error: 0.4771008, Total energy: -1441.0677
Length error: 0.4749046, Total energy: -1440.8076
Length error: 0.4724615, Total energy: -1440.5146
Length error: 0.46985692, Total energy: -1440.2002
Length error: 0.46717444, Total energy: -1439.8766
Length error: 0.46450034, Total energy: -1439.5554
Length error: 0.461922, Total energy: -1439.248
Length error: 0.45951718, Total energy: -1438.9651
Length error: 0.45736068, Total energy: -1438.7161
Length error: 0.45551658, Total energy: -1438.509
Length error: 0.45403525, Total energy: -1438.3503
Length error: 0.45295936, Total energy: -1438.2449
Length error: 0.45231476, Total energy: -1438.1958
Length error: 0.45211166, Total energy: -1438.2045
Length error: 0.45234996, Total energy: -1438.2705
Length error: 0.4530122, Total energy: -1438.392
Length error: 0.4540717, Total energy: -1438.5652
Length error: 0.45548582, Total energy: -1438.7848
Length error: 0.45720232, Total energy: -1439.0448
Length error: 0.4591628, Total energy: -1439.3375
Length error: 0.46130162, Total energy: -1439.6548
Length error: 0.4635469, Total energy: -1439.9868
Length error: 0.4658258, Total energy: -1440.325
Length error: 0.46806598, Total energy: -1440.6588
Length error: 0.47019696, Total energy: -1440.9791
Length error: 0.47215223, Total energy: -1441.2765
Length error: 0.47387105, Total energy: -1441.5428
