Length error: 0.03593801, Total energy: -1366.5919
Length error: 0.035422504, Total energy: -1366.6906
Length error: 0.0349316, Total energy: -1366.7894
Length error: 0.034480438, Total energy: -1366.8904
Length error: 0.03408268, Total energy: -1366.9966
Length error: 0.033748373, Total energy: -1367.1095
Length error: 0.033486217, Total energy: -1367.2307
Length error: 0.03330484, Total energy: -1367.3612
Length error: 0.03320913, Total energy: -1367.5015
Length error: 0.033199623, Total energy: -1367.6515
Length error: 0.03327678, Total energy: -1367.8118
Length error: 0.033438176, Total energy: -1367.9812
Length error: 0.033674076, Total energy: -1368.1597
Length error: 0.033978894, Total energy: -1368.3467
Length error: 0.03434135, Total energy: -1368.5408
Length error: 0.034747183, Total energy: -1368.7413
Length error: 0.03518392, Total energy: -1368.9469
Length error: 0.0356324, Total energy: -1369.1561
Length error: 0.036079243, Total energy: -1369.3673
Length error: 0.0365064, Total energy: -1369.578
Length error: 0.036896646, Total energy: -1369.7864
Length error: 0.037235335, Total energy: -1369.9897
Length error: 0.037510574, Total energy: -1370.1857
Length error: 0.03770949, Total energy: -1370.3721
Length error: 0.03782679, Total energy: -1370.5466
Length error: 0.037858143, Total energy: -1370.7074
Length error: 0.03780535, Total energy: -1370.854
Length error: 0.037672877, Total energy: -1370.9861
Length error: 0.03746757, Total energy: -1371.1041
Length error: 0.037200227, Total energy: -1371.2091
Length error: 0.0368845, Total energy: -1371.303
Length error: 0.036530674, Total energy: -1371.3876
Length error: 0.036154673, Total energy: -1371.4651
Length error: 0.035770938, Total energy: -1371.5381
Length error: 0.035391733, Total energy: -1371.6088
Length error: 0.035027683, Total energy: -1371.6797
Length error: 0.034692705, Total energy: -1371.7524
Length error: 0.034394428, Total energy: -1371.8291
Length error: 0.03414467, Total energy: -1371.9104
Length error: 0.033945426, Total energy: -1371.9982
Length error: 0.033808082, Total energy: -1372.0927
Length error: 0.03373222, Total energy: -1372.1945
Length error: 0.033721983, Total energy: -1372.3037
Length error: 0.033775106, Total energy: -1372.4204
Length error: 0.03389077, Total energy: -1372.5442
Length error: 0.034062296, Total energy: -1372.6749
Length error: 0.034285247, Total energy: -1372.8113
Length error: 0.03454803, Total energy: -1372.953
Length error: 0.034844592, Total energy: -1373.0988
Length error: 0.035162047, Total energy: -1373.2483
Length error: 0.03549023, Total energy: -1373.3993
Length error: 0.03581454, Total energy: -1373.551
Length error: 0.03612432, Total energy: -1373.7017
Length error: 0.03640932, Total energy: -1373.85
Length error: 0.036655292, Total energy: -1373.994
Length error: 0.036856905, Total energy: -1374.1323
Length error: 0.037004665, Total energy: -1374.2633
Length error: 0.037093714, Total energy: -1374.386
Length error: 0.03712201, Total energy: -1374.499
Length error: 0.03708893, Total energy: -1374.6019
Length error: 0.036996275, Total energy: -1374.6953
Length error: 0.03685218, Total energy: -1374.7788
Length error: 0.036661938, Total energy: -1374.8533
Length error: 0.036435172, Total energy: -1374.92
Length error: 0.03617847, Total energy: -1374.9806
Length error: 0.035903975, Total energy: -1375.0361
Length error: 0.035623133, Total energy: -1375.0889
Length error: 0.035341993, Total energy: -1375.1401
Length error: 0.035073876, Total energy: -1375.1915
Length error: 0.034825116, Total energy: -1375.2443
Length error: 0.034602806, Total energy: -1375.2997
Length error: 0.03441523, Total energy: -1375.359
Length error: 0.034267336, Total energy: -1375.4229
Length error: 0.034166202, Total energy: -1375.4917
Length error: 0.03410849, Total energy: -1375.5662
Length error: 0.034100205, Total energy: -1375.6462
Length error: 0.034139886, Total energy: -1375.7319
Length error: 0.034224376, Total energy: -1375.8229
Length error: 0.03435123, Total energy: -1375.9188
Length error: 0.03451322, Total energy: -1376.0188
Length error: 0.034706786, Total energy: -1376.1228
Length error: 0.034925744, Total energy: -1376.23
Length error: 0.035159603, Total energy: -1376.339
Length error: 0.035400555, Total energy: -1376.4491
Length error: 0.035637364, Total energy: -1376.5591
Length error: 0.035864696, Total energy: -1376.668
Length error: 0.036070213, Total energy: -1376.7743
Length error: 0.036250442, Total energy: -1376.8776
Length error: 0.036397144, Total energy: -1376.9763
Length error: 0.036505103, Total energy: -1377.0695
Length error: 0.036570624, Total energy: -1377.1567
Length error: 0.036591947, Total energy: -1377.2369
Length error: 0.036569193, Total energy: -1377.3102
